PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
128,1.2.3.5.1,"1,2351",5,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,1,2.0,,,,Raison du plus riche,20.0,Vous pensez qu'une idée est valide seulement parce que celui qui la présente est riche.,87.0,"S'il avait tort, il n'en serait pas parvenu où il en est aujourd'hui.",69.0,https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam,Insufficiency,Prejudice,Moralistic fallacy,Appeal to wealth,16.0,,Concluding that a statement is correct because the speaker is rich,66.0,"If he were wrong, he wouldn't have reached where he is today.",,61,https://en.wikipedia.org/wiki/Argumentum_ad_crumenam,,Argumentum ad crumenam,,,,недостаток,Предрассудок,Морализаторство,Призыв к богатству,"Вы думаете, что идея верна только потому что человек, представляющий её, богат.","Если бы он не был прав, он бы не достиг того, что имеет сегодня.",,Insuficiência,Preconceito,Sofisma Moralista,Apelo à riqueza,Você pensa que uma ideia é válida apenas porque a pessoa que a apresenta é rica.,"Se ele estivesse errado, ele não teria chegado onde ele está hoje.",,,,,,,,,,,,,,,,,,circle,,,,,1.2351,4+
357,2.3.1,"2,31",3,Influence,influence,Manipulation mentale,Conditionnement,1,2.0,,,,Conditionnement,15.0,"Vous créez des associations entre idées et émotions, influençant les comportements sans que cela ne soit évident.",113.0,"Quand vous voyez notre logo, vous pensez instantanément à la liberté et à l'aventure. C'est ce qui rend notre marque si spéciale dans le cœur de nos clients.",157.0,https://fr.wikipedia.org/wiki/Conditionnement_(psychologie),Influence,Psychological manipulation,Conditioning,Conditioning,12.0,,"Creating associations between ideas and emotions in your audience, subtly influencing behaviors without obvious evidence.",121.0,"When you see our logo, you immediately think of freedom and adventure. That's the subtle power our brand holds in our customers' hearts.",,136,http://skepdic.com/conditioning.html,ptet une définition un peu trop specifique,,,,,Влияние ,Манипуляция сознанием,Кондиционирование,Кондиционирование,"Вы создаёте ассоциации между идеями и эмоциями, тем самым тонко влияя на поведение вашей аудитории без очевидных доказательств того.","Когда вы видите наш логотип, вы мгновенно думаете о свободе и приключениях. Это делает наш бренд таким особенным для наших клиентов.","Отдать власть банкирам, это то же самое, что лечить пьяницу водкой. ",Influência,Manipulação psicológica,Condicionamento,Condicionamento,"Você cria associações entre ideias e emoções, influenciando comportamentos de forma sutil sem que seja óbvio.","Quando você vê nosso logo, você pensa instantaneamente em liberdade e aventura. É isso que torna nossa marca tão especial para nossos clientes.",,,,,,,,,,,,,,SignFromOtherEvents_Conflict,Sign_Inference,,skos:broadMatch,circle,,,,,2.31,3
989,6.2.1.4,"6,214",4,Tricherie,tricherie,Changement de cap,Exigence renforcée,1,1.0,2.0,,,Renverser la charge de la preuve,32.0,Vous estimez que c'est à la partie adverse de démontrer l'invalidité de votre position au lieu de la justifier vous-même.,121.0,"Moi, prouver que mon produit est sans danger ? Plutôt à vous de montrer qu'il est nocif !",94.0,https://fr.wikipedia.org/wiki/Renverser_la_charge_de_la_preuve_(philosophie),Cheating,Moving the goalposts,Stronger requirements,Shifting the burden of proof.,29.0,,Assuming a proposition to be true until proved false or vice-versa.,67.0,I need to prove my product is safe? Isn't it rather for you to show how it's harmful?,,85,https://en.wikipedia.org/wiki/Philosophical_burden_of_proof#Shifting_the_burden_of_proof,,,,,,Лукавство,Изменение направления,Усиленное требование,Переворот доказательств,"Вы считаете, что другая сторона должна опровергать ваши доводы, а не вы - доказывать ваши. ","Я должен доказать, что мой продукт безопасен? Вам стоит доказать, что он вреден!",,Trapaça,Mudança de meta,Exigências Aumentadas,Inverter o Ônus da Prova,Você estima que é à parte adversa demonstrar a invalidez da sua posição em vez de justificá-la você mesmo.,"Eu, provar que meu produto é seguro? Melhor você mostrar que ele é nocivo!",,1,1.0,,,,,,,,,,,,,,,circle,femme porte un homme assis,,,1.0,6.214,4+
184,2.1.1.3,"2,113",4,Influence,influence,Procédé rhétorique,Langage persuasif,1,2.0,6.0,,,Définition persuasive,21.0,Vous définissez des termes de façon biaisée pour orienter le sens du débat en votre faveur.,91.0,"Cet homme est un athée, quelqu'un qui n'a pas été touché par la grâce de Dieu.",78.0,,Influence,Rhetorical device,Loaded language,Persuasive definition,21.0,,You use a biased definition of some terms to steer the debate in your favor.,76.0,"This man is an atheist, someone who has not been touched by the grace of God.",,77,https://en.wikipedia.org/wiki/Persuasive_definition,,,,,,Влияние ,Риторические приемы,Язык убеждения,Пристрастное определение,"Вы пристрастно трактуете некоторые из терминов, используемых в аргументации","Этот человек атеист, значит, его не коснулась благодать Божия. ",,Influência,Dispositivo Retórico,Linguagem Carregada,Definição Persuasiva,Vocês definem termos de forma tendenciosa para orientar o sentido do debate a seu favor.,"Esse homem é um ateu, alguém que não foi tocado pela graça de Deus.",,,,,,,,,,,,,,,,,,circle,,,,,2.113,4+
638,3.2.1.4.1,"3,2141",5,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,1,1.0,3.0,,,Tireur d'élite texan,20.0,"En imaginant une cause là où vous voyez une tendance, vous forcez le résultat pour qu'il colle à vos convictions.",113.0,"On trouve des pyramides au Mexique, en Égypte et au Cambodge, ce qui prouve qu'une même entité a inspiré tous ces peuples.",122.0,https://fr.wikipedia.org/wiki/Sophisme_du_tireur_d'%C3%A9lite_texan,Mathematical error,Interpretation fallacy,Spurious relationship,Texas sharpshooter,18.0,,"Assigning a common cause to a pattern. This results in forcing the outcome to adjust to one's belief, shaping the facts until they fit the theory.",146.0,"We found pyramids in Egypt, Mexico and Cambodia. It must be that an alien taught these 3 distinct civilizations. ",,113,http://www.skepdic.com/texas.html,liens t: cueillette des cerises illusion des séries,,Les filles sont sous-représentées dans les filières liées aux mathématiques ; les garçons sont donc naturellement plus doués qu'elles dans cette discipline.,Women are under-represented in math studies. It must be that they have a less mathematical brain than men.,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Техасский стрелок,Вы пытаетесь найти общую причину для случайных событий со схожими характеристиками.,"В Мексике, Египте и Камбодже встречаются пирамиды, это доказывает, что все эти народы вдохновляла одна и та же высшая сущность. ",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Atirador de Elite Texano,Dando uma causa injustificada a um padrão.,"Encontramos pirâmides no Egito, no México e no Camboja. Isto sugere indevidamente que uma mesma civilização antiga influenciou todas estas culturas distintas.",,,1.0,,,,,,,,,,,,,,,circle,,,,1.0,3.2141,4+
108,1.2.2.4,"1,224",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,1,1.0,7.0,,argumentum ad naturam,Appel à la nature,17.0,"Vous supposez qu'une chose est bonne parce qu'elle est naturelle, ou mauvaise parce qu'elle n'est pas naturelle.",112.0,"Il est normal que chez les hommes, comme chez la plupart des animaux, les mâles dominent car ils sont plus forts et plus violents.",130.0,https://fr.wikipedia.org/wiki/Appel_à_la_nature,Insufficiency,Prejudice,Naturalistic Fallacy,Appeal to nature,16.0,"Biologizing, The Green Fallacy","Grounding one's argumentation on the assumption that anything natural is good, or that anything non-natural is bad.",115.0,"It's natural for men, like most animals, to dominate because they are stronger and more violent.",,96,"https://en.wikipedia.org/wiki/Appeal_to_nature
https://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm",,,,,,недостаток,Предрассудок,Натуралистическое заблуждение,Апелляция к природе,"Вы основываете ваше суждение на убеждении, что то, что естественно, является хорошим, и наоборот. ","Это естественно, что у большинства животных самцы доминируют, потому что они сильнее и жестче, так и в человеческом обществе доминируют мужчины.",https://ru.wikipedia.org/wiki/Апелляция_к_природе,Insuficiência,Preconceito,Naturalismo,Apelo à natureza,"Baseando a argumentação na suposição de que tudo o que é natural é bom, ou que tudo o que não é natural é ruim.","É natural que os homens, assim como na maioria dos animais, dominem porque são mais fortes e mais violentos.",,1,,,,,,,,,,,,,,,,circle,,,,,1.224,4+
845,5.2.3.1,"5,231",4,Abus de langage,abusDeLangage,Comparaison fallacieuse,Sophisme d'association,1,1.0,1.0,,,Amalgame,8.0,Vous associez à tort quelque chose à une catégorie négative en vous basant sur un seul point commun.,100.0,Tu es végétarien? Nous n'avons pas besoin de militant écologiste ici.,69.0,https://fr.wikipedia.org/wiki/Amalgame_(communication),Misleading language,Fallacious comparison,Association fallacy,Conflation,10.0,,Abusively assimilating a specific thing to a well-known category on grounds of some common features.,100.0,You're a vegetarian? We don't need an environmental activist here.,,66,https://en.wikipedia.org/wiki/Conflation,,,,,,Злоупотребление языком,Ложное сравнение,Софизм ассоциации,Амальгама,"Вы причисляете элемент к категории, ссылаясь на одно общее свойство. ",Ты вегетарианец? Мы не нуждаемся здесь в экологических активистах.,,Abuso da Linguagem,Comparação falaciosa,Sofisma de associação,Amálgama,Vocês associam indevidamente algo a uma categoria negativa baseando-se em apenas um ponto comum.,Vocês são vegetarianos? Não precisamos de ativista ambiental aqui.,,1,1.0,,,,,,,,,,,,,,,circle,un homme mélange dans un chaudron,,,1.0,5.231,4+
1371,7.3.2,"7,32",3,Obstruction,obstruction,Ad hominem,Sophisme génétique,1,1.0,7.0,,,Sophisme génétique,18.0,Vous rejetez une idée en critiquant son origine plutôt que son contenu.,71.0,Je ne vais pas prendre les conseils d'un américain pour choisir mon vin tout de même.,85.0,https://fr.wikipedia.org/wiki/Sophisme_g%C3%A9n%C3%A9tique,Obstruction,Ad hominem,Genetic fallacy,Genetic fallacy,15.0,,Criticizing a proposal or statement on the basis not of its nature but of its origin or source.,95.0,I won't take advice on selecting wine from an American.,,55,https://en.wikipedia.org/wiki/Genetic_fallacy,liens t (psychogénétique). Recopier exactement le 4.3.1.1.1 ?,,Pensez-vous vraiment que le Front National nouvelle génération se soit débarrassé de ses membres fondateurs fascistes ?,,,Обструкция,К человеку,Генетический софизм,Генетический софизм,Вы отвергаете предложение из-за его происхождения или идентичности автора. ,"Не буду же я прислушиваться к советам американца, чтобы выбрать вино!",,Obstrução,Ad hominem,Sofisma genético,Sofisma genético,Vocês rejeitam uma ideia criticando sua origem ao invés de seu conteúdo.,Não vou aceitar conselhos de um americano para escolher meu vinho.,,1,1.0,4.3.1.1 1.3.2.3.2,,,,,,,,,,SignFromOtherEvents_Conflict,CircumstantialAdHominem_Inference,,skos:broadMatch,circle,,,,1.0,7.32,3
808,5.1.2.2,"5,122",4,Abus de langage,abusDeLangage,Définition inexacte,Acception arbitraire,1,2.0,4.0,Proposition exclusive,,Sophisme de corrélation,23.0,Votre argumentation manipule des termes mutuellement exclusifs de façon trompeuse.,82.0,"Je t'adore, donc je ne t'aime pas",33.0,,Misleading language,Inexact definition,Arbitrary definition,Correlative-based fallacies,27.0,,Using mutually exclusive statements in a deceiving or faulty manner.,68.0,"I adore you, so I don't love you.",,33,https://en.wikipedia.org/wiki/Correlative-based_fallacies,,,"La France, on l'aime ou on la quitte.",,,Злоупотребление языком,Неточное определение,Произвольное определение,Софизм соотношения,"Ваша аргументация манипулирует взаимоисключающими терминами, чтобы ввести в заблуждение.","Я обожаю тебя, а, значит, не люблю. ",,Abuso da Linguagem,Definição Inexata,Definição Arbitrária,Falácias Correlativas,Sua argumentação utiliza termos mutuamente exclusivos de maneira enganosa.,"Eu te adoro, então eu não gosto de você.",,,,,,,,,,,,,,AlternativeMeans_Conflict,,,skos:broadMatch,circle,,,,,5.122,4+
992,6.2.2,"6,22",3,Tricherie,tricherie,Changement de cap,Beurre et argent du beurre,1,2.0,7.0,Versatilité: ON INVERSERAIT PAS LE TEXT_FR eT LE NOM VULGARISé?,,Beurre et argent du beurre,26.0,Vous évitez de prendre position ferme pour ne jamais être pris en défaut.,73.0,"Si j'ai par mégarde heurté quelqu'un dans cette assistance, je tiens à lui présenter mes excuses ; j'ai cependant agi en mon âme et conscience.",143.0,,Cheating,Moving the goalposts,Having Your Cake and Eating It Too,Having Your Cake and Eating It Too,34.0,,Avoiding to commit to any clear stand so that you can never be proven wrong.,76.0,"If I accidentally offended someone here, I apologize; however, my actions were in good faith.",,93,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/101/Having-Your-Cake,,,,"Although I don't think the system is working, I don't believe in revolution either.",le beurre et l'argent du beurre. / retourner sa veste? /ménager la chèvre et le chou?,Лукавство,Изменение направления,И на елку влезть...,И на елку влезть...,"Вы не занимаете четкой позиции, чтобы вас было не подловить. ","Если я по недосмотру кого-то задел, то приношу извинения, тем не менее, я действовал по совести. ",,Trapaça,Mudança de meta,Ter o bolo e comê-lo também,Ter o bolo e comê-lo também,Evitar assumir qualquer posição clara para que você nunca possa ser provado errado.,"Peço desculpas se ofendi alguém, mas fiz o que achei certo.",,,,,,,,,,,,,,,,,,circle,,,,,6.22,3
165,1.3.3,"1,33",3,Insuffisance,insuffisance,Surinterprétation,Manque de parcimonie,1,1.0,3.0,,,Manque de parcimonie,20.0,Vous compliquez excessivement votre raisonnement au lieu de chercher la simplicité.,83.0,Où sont mes clefs ? Quelqu'un a dû me les voler. C'est une conspiration qui cherche à me rendre fou.,100.0,https://fr.wikipedia.org/wiki/Rasoir_d%27Ockham,Insufficiency,Overinterpretation,Lack of Parsimony,Lack of Parsimony,17.0,,You complicate your reasoning excessively instead of seeking simplicity.,72.0,Where did my keys go? Surely someone has stolen them. It's a conspiracy to drive me insane.,,91,https://en.wikipedia.org/wiki/Occam%27s_razor,"
Jesse: Le lien sur le rasoir d'Ockham est le meilleur je crois
BEn: exemple bof: on ne voit pa sbien la conclusion prouvée par l'ajout (trop complexe il est vrai) de l'hypothèse du vol/ Proposition: Ajouter : ""tout le monde s'acharne sur moi.""",,,,rasoir d'Ockham,недостаток,Домыслы,Слишком сложные объяснения,Слишком сложные объяснения,"Ваше рассуждение сомнительно, потому что прибегает к слишком сложным объяснениям. ","Где мои ключи?... Вероятно, кто-то украл их. Это заговор, чтобы свести меня с ума.",https://ru.wikipedia.org/wiki/Бритва_Оккама,Insuficiência,Superinterpretação,Falta de Parcimônia,Falta de Parcimônia,Provar um ponto com uma argumentação excessivamente complexa.,Onde foram parar minhas chaves? Certamente alguém as roubou. É uma conspiração para me enlouquecer.,,1,1.0,,,,,,,,,,,,,,,circle,,,,1.0,1.33,3
1312,7.2,"7,2",2,Obstruction,obstruction,Saboter le débat,,1,1.0,6.0,Sabotage,,Saboter le débat,16.0,Vous perturbez le débat pour l'orienter ou en limiter la portée.,64.0,Allons donc dans mon bureau pour discuter de la stupidité de votre demande d'augmentation...,92.0,,Obstruction,Sabotage,,Sabotage,8.0,,Disrupting the debate to divert or reduce its scope.,52.0,Let's move to my office so we can discuss why your request for a raise is absurd.,,81,https://en.wikipedia.org/wiki/Sabotage,,,"Le gouvernement, responsable de votre chômage actuel, vient ce soir défendre son bilan politique à la télévision.",,,Обструкция,Саботаж дебатов,,Саботаж дебатов,"Вы ухудшаете обстановку дискуссии, чтобы придать ей нужное направление или ограничить ее значение. ","Пойдемте в мой кабинет, и там обсудим, насколько глупа ваша просьба о повышении. ",,Obstrução,Sabotar o debate,,Sabotar o debate,Vocês perturbam o debate para direcioná-lo ou limitar seu alcance.,Vamos até meu escritório para discutir quão sem sentido é seu pedido de aumento.,,,,,,,,,,,,,,,,,,circle,voiture tombe d'une falaise,,,,7.2,2
337,2.2.2.4,"2,224",4,Influence,influence,Appel à l'émotion,Repoussoir,2,2.0,5.0,,,Appel à la terreur,18.0,"Vous provoquez la peur chez votre auditoire pour le persuader, en délaissant les arguments raisonnables.",104.0,Ne t'éloigne pas du chemin ou le loup te dévorera !,51.0,https://fr.wikipedia.org/wiki/Appel_%C3%A0_la_terreur,Influence,Appeal to emotion,Foil,Appeal to fear,14.0,,Leveraging the fears of an audience to persuade them.,53.0,"Do not stray from the path, or the wolf will eat you.",,53,https://en.wikipedia.org/wiki/Appeal_to_fear,,argumentum ad metum ou argumentum in terrorem,,,"Fear is the mind-killer. Fear is the little-death that brings total obliteration. Frank Herbert, Dune",Влияние ,Воздействие на эмоции,Очернение,Аргумент к ужасу,"Вы используете страхи вашей аудитории, чтобы достичь своих целей. ","Не сходи с дороги, а не то тебя съест волк. ",,Influência,Apelo à emoção,Repulsão,Apelo ao medo,Explorando os medos de uma audiência para persuadi-los.,"Não se desvie do caminho, ou o lobo pode te comer.",,1,1.0,,,,,,,,,,,IrrationalFearAppeal_Conflict,FearAppeal_Inference,,skos:closeMatch,circle,masque squelette mexicain,,,1.0,2.224,4+
844,5.2.3,"5,23",3,Abus de langage,abusDeLangage,Comparaison fallacieuse,Sophisme d'association,1,2.0,4.0,,,Sophisme d'association,22.0,Vous associez à tort des éléments entre eux en se basant sur des caractéristiques communes sans rapport avec l'argument.,120.0,Jeanne est bonne en mathématiques. Jeanne est dyslexique. Donc tous les dyslexiques sont bons en mathématiques. ,112.0,https://fr.wikipedia.org/wiki/Sophisme_par_association,Misleading language,Fallacious comparison,Association fallacy,Association fallacy,19.0,,Using a shared property between A and B to ascribe any property of B to A.,74.0,"Jane is good at mathematics. Jane is dyslexic. Therefore, all dyslexic people are good at mathematics.",,102,https://en.wikipedia.org/wiki/Association_fallacy,"O. Reboul dit que la digression est là pour distraire l'auditoire, mais aussi l'apitoyer ou l'indigner, à base d'anecdote. Pour moi c'est un Appel aux émotions (279). Et j'ajouterais que toute fausse piste est une digression, la digression pourrait être le pendant pertinent (paralogistique) de la fausse piste qui elle serait à tendance sophistique - J",,Ce président a la même taille que Napoléon ; il va donc chercher à envahir la Russie !,"You are very critical of the EU, just like the far right.",,Злоупотребление языком,Ложное сравнение,Софизм ассоциации,Софизм ассоциации,"Под предлогом того, что два элемента выглядят похоже, вы приписываете одному все свойства другого, если только это идет на пользу вашей аргументации. ","Джейн отлично справляется с математикой. Джейн - дислексик. Следовательно, все дислексики хорошо справляются с математикой.",,Abuso da Linguagem,Comparação falaciosa,Sofisma de associação,Sofisma de associação,"Vocês associam incorretamente elementos entre si, baseando-se em características comuns sem relação com o argumento.","Jeanne é boa em matemática. Jeanne é disléxica. Portanto, todos os disléxicos são bons em matemática.",,,,"lien avec red-herring, hasty generalisation",,,,,,,,,,,,,,circle,,,,,5.23,3
105,1.2.2.3.1,"1,2231",5,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,2,1.0,2.0,,,Appel au précédent,18.0,"Vous argumentez que parce qu'un événement ne s'est jamais produit auparavant, il ne peut pas se produire à l'avenir.",116.0,"Aucun bâtiment de ce type n'a jamais résisté à un tremblement de terre de cette magnitude. Donc, il est impossible qu'il reste debout après un tel événement.",157.0,,Insufficiency,Prejudice,Naturalistic Fallacy,Appeal to Precedent,19.0,,"You argue that because an event has never occurred before, it cannot happen in the future. ",91.0,"No building of this kind has ever withstood an earthquake of this magnitude. Therefore, it is impossible for it to remain standing after such an event.",,151,https://rationalwiki.org/wiki/Draft:Appeal_to_precedent,,Argumentum ad antiquitatem,,,"Le flatteur est proche parent du traître.""	",недостаток,Предрассудок,Натуралистическое заблуждение,Аргумент к прецеденту,"Вы утверждаете, что поскольку какое-либо событие ранее не происходило, оно не может произойти и в будущем.","Ни одно здание такого типа никогда не выдерживало землетрясение такой мощности. Поэтому невозможно, чтобы оно осталось стоять после такого события.",https://studme.org/336718/ritorika/argument_traditsii,Insuficiência,Preconceito,Naturalismo,Apelo ao precedente,"Vocês argumentam que porque um evento nunca ocorreu antes, ele não pode acontecer no futuro.","Nenhum edifício deste tipo jamais resistiu a um sismo desta magnitude. Portanto, é impossível que permaneça de pé após um evento como este.",,1,,,,,,,,,,,,,,,,circle,,,,,1.2231,4+
813,5.1.2.2.3,"5,1223",5,Abus de langage,abusDeLangage,Définition inexacte,Acception arbitraire,1,2.0,2.0,,,Sophisme du vrai écossais,25.0,"Afin de réfuter un contre-exemple, vous modifiez les contours de l'idée générale que vous soutenez.",99.0,- Tous les Écossais sont roux. - Angus est écossais mais il n'est pas roux. - Ce n'est donc pas un vrai Écossais.,113.0,https://fr.wikipedia.org/wiki/Sophisme_du_vrai_%C3%89cossais,Misleading language,Inexact definition,Arbitrary definition,No true Scotsman,16.0,,Saving a generalization from a counterexample by changing its definition in order to exclude the latter.,104.0,"- No Scotsman adds sugar to porridge.
- Angus,a Scotsman, adds sugar to porridge.
- Angus is not a true Scotsman.",,113,https://en.wikipedia.org/wiki/No_true_Scotsman,,,,,,Злоупотребление языком,Неточное определение,Произвольное определение,Софизм настоящего шотландца,"Для того, чтобы отмести противоположный пример, вы изменяете контуры основной идеи, которую поддерживаете. ","Все шотландцы рыжие. Ангус шотландец, но он не рыжий. Значит, он не настоящий шотландец.",,Abuso da Linguagem,Definição Inexata,Definição Arbitrária,Falácia do Verdadeiro Escocês,"Para refutar um contraexemplo, você modifica os contornos da ideia geral que está sendo defendida.","- Nenhum escocês adiciona açúcar ao mingau.
- Angus, um escocês, adiciona açúcar ao seu mingau.
- Portanto, Angus não é um verdadeiro escocês.",,1,,,,,,,,,,,,,,,,circle,,,,,5.1223,4+
826,5.1.3,"5,13",3,Abus de langage,abusDeLangage,Définition inexacte,Définition inconsistante,1,1.0,6.0,,,Définition inconsistante,24.0,Vous donnez des définitions qui se contredisent ou qui ne sont pas logiques pour les termes que vous utilisez.,110.0,Une bonne éducation se doit d'éveiller l'esprit critique ; or un individu doué d'esprit critique ne se laisse jamais influencer par qui que ce soit.,148.0,,Misleading language,Inexact definition,Inconsistent definition,Inconsistent definition,23.0,,"Defining terms in inconsistent, logically faulty ways.",54.0,Good education is the basis of development of a critical mind. A critical mind can't be influenced by anyone.,,109,,,,,,,Злоупотребление языком,Неточное определение,Несостоятельное определение,Несостоятельное определение,Вы определяете некоторые термины из вашего суждения противоположным или абсурдным образом. ,"Хорошее образование должно пробуждать критический ум, но человек, наделенный критическим умом, не поддается ничьему влиянию. ",,Abuso da Linguagem,Definição Inexata,Definição Inconsistente,Definição Inconsistente,"Definindo termos de maneiras inconsistentes, logicamente falhas.",Uma boa educação é a base para o desenvolvimento de um espírito crítico. Um espírito crítico não pode ser influenciado por ninguém.,,,,,,,,,,,,,,,,,,circle,,,,,5.13,3
698,4.1.1,"4,11",3,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,Pétition de principe,1,2.0,4.0,,,Pétition de principe,20.0,Vous utilisez un argument qui suppose déjà ce que vous essayez de prouver.,74.0,"Mieux vaut avoir un chat plutôt qu'un chien, car les chats sont de meilleurs animaux de compagnie.",98.0,https://fr.wikipedia.org/wiki/PA13%A9tition_de_principe,Faulty logics,Questionable causality,Begging the question,Begging the question,20.0,,Attempting to prove a proposition by using an argument that takes the proposition for granted.,94.0,Death penalty is fair because some crimes deserve that punishment.,,66,https://en.wikipedia.org/wiki/Begging_the_question,liens t analogie à pet prin. Idem avec 166 : doublon à supprimer ?? Stéphanie,petitio principii,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,Предвосхищение основания,Предвосхищение основания,Ваша аргументация предполагает истинность заключения. ,"Смертная казнь - это справедливое наказание, потому что некоторые преступления достойны ее. ",https://ru.wikipedia.org/wiki/Логическая_ошибка,Lógicas defeituosas,Causalidade questionável,Petição de princípio,Petição de princípio,Você usa um argumento que já supõe o que tenta provar.,"É melhor ter um gato do que um cachorro, porque os gatos são melhores animais de estimação.",,,,"5.2.2.1
2.1.1.2
4.1.1
2.1.1.2",,,,,,,,,,,,,,circle,,,,,4.11,3
71,1.2.1,"1,21",3,Insuffisance,insuffisance,Préjugé,Argument d'autorité,1,2.0,1.0,,,Argument d'autorité,19.0,"Vous croyez qu'une affirmation est vraie uniquement parce qu'une autorité la soutient, sans examiner les faits.",111.0,"Bien qu'ayant trop chaud, je n'enlève pas mon manteau, car maman a dit qu'il faisait froid.",91.0,https://fr.wikipedia.org/wiki/Argument_d%27autorité,Insufficiency,Prejudice,Argument from Authority,Argument from Authority,23.0,,"Grounding claims on the high status of a supporter, regardless of the basis or relevance of the supporter's status.",115.0,I'm feeling hot but I'll keep my coat on because Mum said it was cold today.,,76,https://en.wikipedia.org/wiki/Argument_from_authority,"An argument from authority, also called an appeal to authority, popularized by John Locke as the argumentum ad verecundiam
Jesse: CF version FR: il y a 3 expressions en latin, qui correspondent ici à des sous-categories
Liens transverses (mmiroir) vers par le mépris, par la haine... Lein t vers achievements",,,,,недостаток,Предрассудок,Воззвание к авторитету,Воззвание к авторитету,"Вы основываете суждение на авторитетности экспертов, а не на убедительности самих доводов. ","—Моня! Иди домой! 
—Мама, я замёрз? 
—Нет, ты хочешь кушать!",https://ru.wikipedia.org/wiki/Апелляция_к_авторитету,Insuficiência,Preconceito,Argumento de Autoridade,Argumento de Autoridade,"Vocês acreditam que uma afirmação é verdadeira somente porque uma autoridade a apoia, sem examinar os fatos.","Embora eu esteja com calor, não vou tirar meu casaco, porque mamãe disse que estava frio.",,1,1.0,,,,,,,,,,,ExpertiseInconsistency_Conflict,ExpertOpinion_Inference,,skos:closeMatch,circle,roi éléphant ivre,,,1.0,1.21,3
833,5.2,"5,2",2,Abus de langage,abusDeLangage,Comparaison fallacieuse,,1,1.0,6.0,,,Comparaison fallacieuse,23.0,Vous faites une comparaison qui est trompeuse et induit en erreur pour appuyer votre point.,91.0,"L'école, c'est comme la prison. On n'y entre pas comme on veut.",63.0,,Misleading language,Fallacious comparison,,Fallacious comparison,21.0,,Reasoning on the basis of illegitimate associations of elements brought  together incorrectly.,94.0,School is like prison. You can't enter it whenever you want.,,60,,,,,,,Злоупотребление языком,Ложное сравнение,,Ложное сравнение,"Вы основываете суждение на сравнении, которое вводит в заблуждение. ","Школа, как тюрьма. Туда не идут по собственному желанию. ",,Abuso da Linguagem,Comparação falaciosa,,Comparação falaciosa,Você faz uma comparação que é enganosa e induz ao erro para apoiar seu ponto.,A escola é como uma prisão. Você não pode simplesmente sair quando quer.,,,,,,,,,,,,,,"BiasedClassification_Conflict, ExceptionSimilarityCase_Conflict",,,skos:broadMatch,circle,marionettes,,,,5.2,2
