PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
0,0,0,0,Argument fallacieux,argumentFallacieux,,,,,,,,Argument fallacieux,19.0,Votre discours vise à tromper votre auditoire.,46.0,Tout ce qui rare est cher. Un cheval bon marché est rare. Donc un cheval bon marché est cher. ,94.0,https://fr.wikipedia.org/wiki/Sophisme,Fallacy,,,Fallacy,7.0,,"Your argument, though perhaps seeming plausible, depends on unjustified and/or unreasonable claims.",99.0,Everything rare is expensive. A cheap horse is rare. So a cheap horse is expensive.,,83,https://en.wikipedia.org/wiki/Fallacy,,,,,,Софизмы (ложные аргументы),,,Софизмы (ложные аргументы),Своим высказыванием вы стремитесь ввести аудиторию в заблуждение.,"Все редкое дорого. Дешевый конь - редкость. Значит, дешевый конь дорог. ",https://ru.wikipedia.org/wiki/Софизм,Falácia,,,Falácia,"Seu argumento, embora possa parecer plausível, depende de reivindicações injustificadas e/ou irrazoáveis.","Tudo o que é raro é caro. Um cavalo barato é raro. Então, um cavalo barato é caro.",,,,,,,,,,,,,,,,,,diamond,,,,,0.0,
1,1,1,1,Insuffisance,insuffisance,,,2,1.0,2.0,,,Insuffisance,12.0,Les arguments que vous utilisez ne suffisent pas à démontrer votre propos.,74.0,,0.0,,Insufficiency,,,Insufficiency,13.0,,The arguments used fail to provide adequate support for the conclusion.,71.0,The evidence presented is insufficient to support the advanced conclusions.,,75,,light green 3: validé par ben le 3 octobre,,,,"Le bon blé porte l'ivraie.""",недостаток,,,недостаток,"Аргументы, которые вы используете, недостаточны, чтобы подтвердить ваше высказывание.",Представленные доказательства недостаточны для поддержки сделанных выводов.,,Insuficiência,,,Insuficiência,Os argumentos usados não fornecem suporte adequado para a conclusão.,"Considerando a fila na porta, este restaurante deve ter a melhor comida da área.",,,,,,,,,,,,,,GeneralAcceptanceDoubt_Conflict,,,skos:broadMatch,square,fusil cassé,#a901ef,,,1.0,1
2,1.1,"1,1",2,Insuffisance,insuffisance,Argument bâclé,,1,1.0,7.0,,,Argument bâclé,14.0,"Vous formulez un argument sur la base d'impressions ou d'anecdotes, sans preuve solide.",87.0,"Hier, j'ai marché dans une crotte de chien en saluant un passant dans la rue. En ville, mieux vaut éviter de s'adresser à des inconnus.",135.0,,Insufficiency,Sloppy argument,,Sloppy argument,15.0,,"You base your argument on anecdotes or instinct, without solid evidence.",72.0,"Yesterday, I stepped in dog poo after smiling at a passer-by, proving that it's best to avoid interaction with strangers in a city.",,131,,,,,,"""Pardonne à tous mais non à toi.""",недостаток,Топорный аргумент,,Топорный аргумент,"Вашему рассуждению не хватает точности, оно опирается на ощущения и байки. ","Вчера я наступил на собачью какашку после того, как улыбнулся прохожему, что доказывает, что в городе лучше избегать взаимодействия с незнакомцами.",,Insuficiência,Argumento descuidado,,Argumento descuidado,"Você baseia seu argumento em anedotas ou instinto, sem evidências sólidas.","Ontem, eu sorri para um estranho na rua e depois pisei em cocô de cachorro. Isso prova que nas cidades, é melhor evitar interagir com estranhos.",,,,,,,,,,,,,,LackOfPTKReliability_Scheme,,,skos:broadMatch,circle,démon qui lit (bof),,,,1.1,2
70,1.2,"1,2",2,Insuffisance,insuffisance,Préjugé,,1,1.0,8.0,,,Préjugé,7.0,Vous basez vos arguments sur des idées reçues sans les remettre en question.,76.0,Laisse donc ton père ouvrir ce pot de cornichons: c'est une affaire d'hommes.,77.0,https://fr.wikipedia.org/wiki/Pr%C3%A9jug%C3%A9,Insufficiency,Prejudice,,Prejudice,9.0,,Arguing on the basis of unchallenged pre-conceptions.,53.0,"Let your father open that jar of pickles, it's a man's job.",,59,https://en.wikipedia.org/wiki/Prejudice,,,,,,недостаток,Предрассудок,,Предрассудок,Рассуждение основано на стереотипах,"Пусть банку с огурцами откроет отец, это мужская работа. ",https://ru.wikipedia.org/wiki/Предрассудок,Insuficiência,Preconceito,,Preconceito,Vocês baseiam seus argumentos em ideias pré-concebidas sem questioná-las.,Deixem seu pai abrir esse pote de pepinos: é um trabalho para homens.,,,,,,,,,,,,,,Bias_Inference,"PopularOpinion_Inference, EstablishedRule_Inference, PracticalReasoning_Inference, PositionToKnow_Inference, Preference_Scheme, PresumptiveInference_Scheme",,skos:broadMatch,circle,oeillères,,,,1.2,2
133,1.3,"1,3",2,Insuffisance,insuffisance,Surinterprétation,,1,1.0,7.0,,,Surinterprétation,17.0,Vous tirez des conclusions exagérées des éléments dont vous disposez.,69.0,"Il ment, puisqu'il rougit.",26.0,https://fr.wiktionary.org/wiki/surinterpr%C3%A9tation,Insufficiency,Overinterpretation,,Overinterpretation,18.0,,Drawing conclusions which exceed what available evidence permits.,65.0,He's lying because he blushes!,,30,https://en.wiktionary.org/wiki/overinterpretation,,,,,,недостаток,Домыслы,,Домыслы,"Вы делаете чрезмерные выводы из тех элементов, которые есть. ","Он врет, раз краснеет. ",,Insuficiência,Superinterpretação,,Superinterpretação,Você tira conclusões exageradas dos elementos que tem à disposição.,"Ele cora, portanto, ele está mentindo!",,,,,,,,,,,,,,LackOfCompleteKnowledge_Conflict,Sign_Inference,,skos:broadMatch,circle,démon qui lit (bof),,,,1.3,2
175,2,2,1,Influence,influence,,,1,1.0,2.0,,,Influence,9.0,Vous manipulez votre auditoire pour le persuader au lieu de le convaincre.,74.0,,0.0,https://fr.wikipedia.org/wiki/Influence_(psychologie),Influence,,,Influence,9.0,,Using tactics to manipulate the audience rather than using logical reasoning.,77.0,"So, you think by using these persuasive statistics, we will just agree to your proposal without questioning the details? You're trying to influence us, not presenting a substantive argument.",,190,https://en.wikipedia.org/wiki/Social_influence,,,,,"On n'est jamais trahi que par les siens.""",Влияние ,,,Влияние ,"Вы используете тактики для манипуляции аудиторией, вместо использования логического рассуждения.","Допустим, вы думаете, что, используя эти убедительные статистические данные, мы просто согласимся с вашим предложением без допроса по деталям? Вы пытаетесь нас повлиять, а не представить весомый аргумент.",,Influência,,,Influência,Vocês manipulam sua audiência para persuadi-la em vez de convencê-la por meio de raciocínio lógico.,"Então, você acha que, usando essas estatísticas persuasivas, simplesmente concordaremos com sua proposta sem questionar os detalhes? Você está tentando nos influenciar, não apresentando um argumento substantivo.",,,,,,,,,,,,,,,,,,square,labo dans le cerveau,#face00,,,2.0,1
176,2.1,"2,1",2,Influence,influence,Procédé rhétorique,,1,1.0,9.0,,,Procédé rhétorique,18.0,"Vous utilisez des expressions et un style engageant pour convaincre, sans nécessairement argumenter de manière logique.",119.0,"Si votre ramage se rapporte à votre plumage, vous êtes le phénix des hôtes de ces bois.",87.0,,Influence,Rhetorical device,,Rhetorical device,17.0,,"Use engaging expressions and style to persuade, without necessarily reasoning logically.",88.0,"If your song matches your plumage, you truly are the phoenix of the hosts of these woods.",,89,https://en.wikipedia.org/wiki/Rhetorical_device,,,,,,Влияние ,Риторические приемы,,Риторические приемы,"Вы используете выразительные фразы и стиль для убеждения, не обосновывая своё мнение логически.","Голубушка, как хороша!  Ну что за шейка, что за глазки!  Рассказывать, так, право, сказки!  Какие перушки!  Какой носок!  И, верно, ангельский быть должен голосок! (И.А.Крылов, Ворона и лисица)
",,Influência,Dispositivo Retórico,,Dispositivo Retórico,"Utilizam expressões e estilos cativantes para persuadir, sem necessariamente raciocinar de forma lógica.","Se sua canção corresponde à sua plumagem, você é verdadeiramente o fênix dos anfitriões destas florestas.",,,,,,,,,,,,,,,,,,circle,,,,,2.1,2
299,2.2,"2,2",2,Influence,influence,Appel à l'émotion,,1,1.0,1.0,,,Appel à l'émotion,17.0,Vous faites naître des émotions intenses pour désorienter la réflexion de ceux qui vous écoutent.,97.0,"Rapporte-nous un bon bulletin de notes, et ton père sera fier de toi.",69.0,,Influence,Appeal to emotion,,Appeal to emotion,17.0,,Triggering emotional responses in order to disrupt the rational thinking of your audience.,90.0,"Bring back a good report card, and your father will be proud of you.",,68,https://en.wikipedia.org/wiki/Appeal_to_emotion,Le lien wikipedia est meilleur (plus général)à que le lien emotive language de don-lindsay (https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/45/Argument-by-Emotive-Language) ou celui de yourlogicalfallacyis,argumentum ad passiones,,,"Un coup de langue est pire qu'un coup de lance.""",Влияние ,Воздействие на эмоции,,Воздействие на эмоции,"Вы вызываете эмоции, которые способны повлиять на суждение. ","Принеси хорошую успеваемость, и твой отец будет гордиться тобой.",,Influência,Apelo à emoção,,Apelo à emoção,Vocês provocam respostas emocionais para interromper o pensamento racional de quem vos escuta.,"Tragam um bom boletim de notas, e seu pai se orgulhará de vocês.",,1,,,,,,,,,,,,,,,,circle,masques de théâtre,,,,2.2,2
356,2.3,"2,3",2,Influence,influence,Manipulation mentale,,1,1.0,8.0,,,Manipulation mentale,20.0,Vous utilisez des stratagèmes pour changer subtilement le point de vue de vos interlocuteurs.,93.0,N'oubliez pas qu'il y a ceux qui ont le privilège de choisir et ceux qui subissent nos choix. Agissez en conséquence.,117.0,https://fr.wikipedia.org/wiki/Manipulation_mentale,Influence,Psychological manipulation,,Psychological manipulation,26.0,,Employing stealthy schemes to subtly shift the perspectives of your interlocutors.,82.0,"Remember, there are those who have the privilege to choose and those who endure our choices. Act accordingly.",,109,https://en.wikipedia.org/wiki/Psychological_manipulation,Mes exemples sont peut-être un peu cash: vous les avez gardés?,,,,"""La bonne volonté raccourcit le chemin.""",Влияние ,Манипуляция сознанием,,Манипуляция сознанием,"Вы прибегаете к хитрости, чтобы изменить мнение аудитории. ","Помните, есть те, кто имеет привилегию выбирать, и те, кто вынуждены терпеть наши выборы. Действуйте соответственно.",,Influência,Manipulação psicológica,,Manipulação psicológica,Você utiliza estratégias para mudar sutilmente o ponto de vista dos seus interlocutores.,"Lembre-se, existem aqueles que têm o privilégio de escolher e aqueles que suportam nossas escolhas. Aja de acordo.",,,,,,,,,,,,,,ConflictingGoals_Conflict,,,skos:broadMatch,circle,,,,,2.3,2
594,3,3,1,Erreur mathématique,erreurMathématique,,,1,1.0,2.0,,,Erreur mathématique,19.0,Votre raisonnement comporte des inexactitudes quantitatives.,60.0,,0.0,,Mathematical error,,,Mathematical error,18.0,,The reasoning includes inaccuracies in in the use of numerical information.,75.0,"In my presentation, I used data from a study without verifying its source, which jeopardized the credibility of my argument.",,124,https://en.wikipedia.org/wiki/Mathematical_fallacy,,,,,,Математическая ошибка,,,Математическая ошибка,Ваше суждение имеет математические погрешности. ,"При вычислениях, совершал ошибки в использовании числовой информации.",,Erro Matemático,,,Erro Matemático,O raciocínio inclui imprecisões no uso de informações numéricas. Você emprega dados numéricos de forma incorreta ou imprecisa.,"Em minha apresentação, utilizei dados de um estudo sem confirmar a sua fonte, o que comprometeu a credibilidade da minha argumentação.",,,,,,,,,,,,,,,,,,square,géant et lilliputiens,#33F66F,,,3.0,1
595,3.1,"3,1",2,Erreur mathématique,erreurMathématique,Généralisation abusive,,1,1.0,8.0,,,Généralisation abusive,22.0,Vous faites une généralisation qui n'est pas valide dans cette situation.,73.0,Mes chats ont toujours été très doux ; les chats sont donc des animaux inoffensifs.,83.0,https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9ralisation#Le_sophisme_de_la_g.C3.A9n.C3.A9ralisation_abusive,Mathematical error,Faulty generalisation,,Faulty generalisation,21.0,,Using a generalisation rule which is invalid in the considered situation.,73.0,All my cats have been sweethearts. I think cats are inoffensive animals.,,72,https://en.wikipedia.org/wiki/Faulty_generalization,,,Tous mes amis vont voter pour ce candidat ; il est donc bien parti pour gagner !,"Most of my friends will vote for this candidate, so I believe he'll win the election.",Une hirondelle ne fait pas le printemps.,Математическая ошибка,Злоупотребление обобщением,,Злоупотребление обобщением,Вы чрезмерно расширяете область вашего суждения. ,"Все мои кошки были ангелами, я думаю, что кошки — неагрессивные животные.",,Erro Matemático,Generalização Abusiva,,Generalização Abusiva,Utilizando uma regra de generalização que é inválida na situação considerada.,Todos os meus gatos foram uns amores. Acho que os gatos são animais inofensivos.,,,,,,,,,,,,,,,"Example_Inference, InductiveInference_Scheme, EvidenceToHypothesis_Inference",,skos:broadMatch,circle,peinture au pistolet,,,,3.1,2
632,3.2,"3,2",2,Erreur mathématique,erreurMathématique,Mauvaise interprétation,,1,1.0,7.0,,,Mauvaise interprétation,23.0,Vous établissez des relations quantitative inexactes entre divers éléments ou données.,86.0,Le réchauffement du climat suit une évolution très proche de celle de la baisse de la natalité. Le lien entre les deux est averré.,130.0,https://fr.wikipedia.org/wiki/Régression_fallacieuse,Mathematical error,Interpretation fallacy,,Interpretation fallacy,22.0,,Making use of erroneous or non-existent relations.,50.0,The rate of student suicides follows the same pattern as that of Nicholas Cage's appearances on screen.,,103,https://www.seekfind.net/Logical_Fallacy_of_Misinterpretation.html#.Y72hCy-B3RY,,,,,,Математическая ошибка,Неправильная интерпретация,,Неправильная интерпретация,Вы устанавливаете несуществующие отношения между различными элементами. ,Появления Николаса Кейджа в кино за последние десять лет совпадают с пиковым количеством утоплений в бассейнах. ,,Erro Matemático,Falácia de Interpretação,,Falácia de Interpretação,Uso de relações errôneas ou inexistentes.,A taxa de suicídios entre estudantes segue o mesmo padrão que as aparições de Nicholas Cage na tela.,,,,,,,,,,,,,,,EvidenceToHypothesis_Inference,,skos:broadMatch,circle,,,,,3.2,2
666,3.3,"3,3",2,Erreur mathématique,erreurMathématique,Résultat invalide,,1,1.0,9.0,,,Résultat invalide,17.0,Vous tirez des conclusions en vous basant sur des raisonnements mathématiques incorrects.,89.0,L'accélération moyenne de la voiture A est supérieure à celle de la voiture B ; la voiture A roule donc plus vite que la voiture B.,131.0,,Mathematical error,Invalid result,,Invalid result,14.0,,Drawing conclusions based on incorrect mathematical reasoning.,62.0,"Car A has a greater average acceleration than Car B; thus, it does not necessarily mean Car A can travel faster than Car B overall.",,131,,"exemple dentifrice ok. on ne voit pas quel est le raisonnement matheux foiruex, mais on devine bien une couille dans le paté. Donc c bien pour une catégorie de niveau 2
",,Rien de tel qu'une bonne guerre pour stimuler l'économie !,Nothing beats a good war to create economic growth.,,Математическая ошибка,Недействительный результат,,Недействительный результат,Ваши умозаключения основаны на математическом заблуждении. ,"Среднее ускорение автомобиля А превосходит ускорение автомобиля В, так что машина А едет быстрее, чем В. ",,Erro Matemático,Resultado Inválido,,Resultado Inválido,Vocês tiram conclusões baseando-se em raciocínios matemáticos incorretos.,"A aceleração média do carro A é maior que a do carro B; portanto, isso não significa necessariamente que o carro A pode viajar mais rápido que o carro B em geral.",,,,,,,,,,,,,,,,,,circle,savant cosinus sur son tableau,,,,3.3,2
696,4,4,1,Erreur de raisonnement,erreurDeRaisonnement,,,,1.0,2.0,,,Erreur de raisonnement,22.0,Votre thèse repose sur un raisonnement incohérent.,50.0,,0.0,,Faulty logics,,,Faulty logics,13.0,,Reaching a conclusion through flawed reasoning.,47.0,,,0,https://en.wikipedia.org/wiki/Fallacy#Logical_fallacies,,,,,,Ошибка рассуждения,,,Ошибка рассуждения,Ваш довод основан на непоследовательном рассуждении. ,"Мы решили, что этот человек не подходит для работы из-за его странного чувства юмора. Это строго логическое решение, не так ли?",,Lógicas defeituosas,,,Lógicas defeituosas,Chegar a uma conclusão através de um raciocínio falho.,"Decidi que essa pessoa não é adequada para a função devido ao seu senso de humor peculiar, o que claramente é uma escolha lógica, certo?",,,,,,,,,,,,,,Logical_Conflict,,,skos:closeMatch,square,engrenages,#6ab400,,,4.0,1
