PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
697,4.1,"4,1",2,Erreur de raisonnement,erreurDeRaisonnement,Causalité douteuse,,1,1.0,7.0,,,Causalité douteuse,18.0,Vous assumez un lien de cause à effet qui n'est pas évident ou incorrect.,73.0,Pas étonnant qu'il obtienne de si bonnes notes à l'école : c'est le chouchou du professeur !,92.0,,Faulty logics,Questionable causality,,Questionable causality,22.0,,Asserting debatable causality relations. ,41.0,No wonder she gets such good grades. She’s the teacher’s pet.,,61,http://www.nizkor.org/features/fallacies/questionable-cause.html,, Non causa pro causa,,,,Ошибка рассуждения,Сомнительная причинно-следственная связь,,Сомнительная причинно-следственная связь,"Вы утверждаете, что некий факт вызвал другой, устанавливая очень сомнительную логическую связь. ","Неудивительно, что он получает такие хорошие оценки в школе: он же любимчик! ",,Lógicas defeituosas,Causalidade questionável,,Causalidade questionável,Você afirma relações de causalidade questionáveis.,Não é de se admirar que ele tire notas tão boas na escola: ele é o favorito do professor!,,,,,,,,,,,,,,OppositeConsequences_Conflict,PracticalReasoning_Inference,,skos:broadMatch,circle,mains se dessinent l'une l'autre,,,,4.1,2
726,4.2,"4,2",2,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise composition,,1,1.0,6.0,,,Mauvaise composition,20.0,"Vous reliez incorrectement des propositions logiques, entraînant un raisonnement erroné.",88.0,"Plus il y a de gruyère, plus il y a de trous ; or plus il y a de trous, moins il y a de gruyère. Donc plus il y a de gruyère, moins il y en a.",142.0,,Faulty logics,Spurious composition,,Spurious composition,20.0,,Faulty chaining of logical assertions.,38.0,"The more Swiss cheese you have, the more holes you have; but the more holes you have, the less Swiss cheese you have. Thus, the more Swiss cheese, the less you have.",,165,http://www.fallacyfiles.org/glossary.html#Connective,,,,,,Ошибка рассуждения,Неправильная композиция,,Неправильная композиция,Ваше суждение основано на фальшивой связи логических умозаключений. ,"Чем больше сыра, тем больше дырок, чем больше дырок - тем меньше сыра. Так что чем больше сыра, тем его меньше. ",,Lógicas defeituosas,Composição falaciosa,,Composição falaciosa,"Você conecta incorretamente proposições lógicas, levando a um raciocínio errado.","Quanto mais gruyère, mais buracos; mas quanto mais buracos, menos gruyère. Portanto, quanto mais gruyère, menos se tem.",,   ,,,,,,,,,,,,Commitment_Conflict,"Inference_Scheme, Deductive_Inference",,skos:broadMatch,circle,jeux de forme bébé,,,,4.2,2
758,4.3,"4,3",2,Erreur de raisonnement,erreurDeRaisonnement,Mauvaise déduction,,1,1.0,4.0,,,Mauvaise déduction,18.0,Vous aboutissez à des conclusions qui ne découlent pas logiquement de vos affirmations de départ.,97.0,"Si l'on ne trouve pas de solution, c'est qu'il n'y a pas de problème.",69.0,,Faulty logics,Wrong entailment,,Wrong entailment,16.0,,Drawing conclusions that do not logically follow from the starting assumptions.,79.0,"If no solution is found, it does not mean there is no problem.",,62,,,,,,,Ошибка рассуждения,Ложная дедукция,,Ложная дедукция,"Ваши изначальные гипотезы не позволяют построить рассуждение, которое бы обосновало вывод. ","Если мы не находим решения, значит, нет и проблемы. ",,Lógicas defeituosas,Dedução incorreta,,Dedução incorreta,Vocês chegam a conclusões que não decorrem logicamente das suas afirmações iniciais.,"Se não se encontra uma solução, é porque não há problema.",,,,,,,,,,,,,,Commitment_Conflict,Deductive_Inference,,skos:broadMatch,circle,le penseur à terre,,,,4.3,2
798,5,5,1,Abus de langage,abusDeLangage,,,1,1.0,2.0,,,Abus de langage,15.0,Vous usez de subtilités linguistiques pour convaincre.,54.0,,0.0,,Misleading language,,,Misleading language,19.0,,Using language in a way that misleads or misrepresents the truth.,65.0,"Using complex or confusing language, I persuaded them that my idea was correct, even though it was not fully supported by facts.",,128,,,,,,,Злоупотребление языком,,,Злоупотребление языком,"Вы прибегаете к лингвистическим уловкам, чтобы убедить собеседника. ",,,Abuso da Linguagem,,,Abuso da Linguagem,Vós utilizais subtilezas linguísticas para convencer.,,,,,,,,,,,,,,,,,,,square,femme avec diadème en serpent.,#0039f0,,,5.0,1
799,5.1,"5,1",2,Abus de langage,abusDeLangage,Définition inexacte,,1,1.0,8.0,,,Définition inexacte,19.0,"Vous définissez les termes de manière à favoriser votre argument, en écartant les significations établies.",106.0,"J'arrête de fumer cinq fois par jour, après chaque cigarette.",61.0,,Misleading language,Inexact definition,,Inexact definition,18.0,,Defining the terms used in the discussion so as to support one's agenda or claim.,81.0,"I quit smoking five times a day, after each cigarette.",,54,https://en.wikipedia.org/wiki/Fallacies_of_definition,,,,,,Злоупотребление языком,Неточное определение,,Неточное определение,"Вы на ходу меняете определения терминов, подгоняя их под вашу аргументацию. ","Я бросаю курить по пять раз в день, после каждой сигареты. ",,Abuso da Linguagem,Definição Inexata,,Definição Inexata,"Vocês definem os termos de maneira a favorecer o seu argumento, afastando os significados estabelecidos.","Eu paro de fumar cinco vezes por dia, depois de cada cigarro.",,1,,,,,,,,,,,,"BiasedClassification_Conflict, ArbitraryVerbalClassification_Inference",VerbalClassification_Inference,,skos:broadMatch,circle,flic avec dictionnaire,,,,5.1,2
833,5.2,"5,2",2,Abus de langage,abusDeLangage,Comparaison fallacieuse,,1,1.0,6.0,,,Comparaison fallacieuse,23.0,Vous faites une comparaison qui est trompeuse et induit en erreur pour appuyer votre point.,91.0,"L'école, c'est comme la prison. On n'y entre pas comme on veut.",63.0,,Misleading language,Fallacious comparison,,Fallacious comparison,21.0,,Reasoning on the basis of illegitimate associations of elements brought  together incorrectly.,94.0,School is like prison. You can't enter it whenever you want.,,60,,,,,,,Злоупотребление языком,Ложное сравнение,,Ложное сравнение,"Вы основываете суждение на сравнении, которое вводит в заблуждение. ","Школа, как тюрьма. Туда не идут по собственному желанию. ",,Abuso da Linguagem,Comparação falaciosa,,Comparação falaciosa,Você faz uma comparação que é enganosa e induz ao erro para apoiar seu ponto.,A escola é como uma prisão. Você não pode simplesmente sair quando quer.,,,,,,,,,,,,,,"BiasedClassification_Conflict, ExceptionSimilarityCase_Conflict",,,skos:broadMatch,circle,marionettes,,,,5.2,2
846,5.3,"5,3",2,Abus de langage,abusDeLangage,Ambiguïté,,1,1.0,2.0,,,Ambiguïté,9.0,Votre argumentation repose sur des énoncés qui peuvent avoir plusieurs sens.,76.0,Il a peint le portrait de la dame en noir.,42.0,https://yourlogicalfallacyis.com/fr/ambiguite,Misleading language,Ambiguity,,Ambiguity,9.0,,Phrasing statements that have several possible meanings.,56.0,He painted the lady's portrait in black.,,40,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/17/Ambiguity-Fallacy,,,Je vous ai compris !,We promise to withdraw from territories occupied in the recent conflict.,,Злоупотребление языком,Двусмысленность,,Двусмысленность,"Ваша аргументация основана на высказываниях, которые могут быть восприняты по-разному.",Он нарисовал портрет дамы в черном.,,Abuso da Linguagem,Ambiguidade,,Ambiguidade,Sua argumentação se baseia em declarações que podem ter vários sentidos.,Ele pintou o retrato da dama de preto.,,1,,,,,,,,,,,,"ArbitraryVerbalClassification_Inference, OppositeConsequences_Conflict, SignFromOtherEvents_Conflict",,,skos:broadMatch,circle,langue en gargouille,,,,5.3,2
887,6,6,1,Tricherie,tricherie,,,1,1.0,2.0,,,Tricherie,9.0,Vous vous affranchissez des règles tacites qui régissent un débat rationnel.,76.0,,0.0,https://fr.wikipedia.org/wiki/Tricherie,Cheating,,,Cheating,8.0,,Violating the norms of rational debate,38.0,"Of course, it’s not fair to use cheat sheets during an exam, but who here could resist the temptation, knowing they won’t get caught?",,133,https://en.wikipedia.org/wiki/Cheating,,,,,,Лукавство,,,Лукавство,"Вы нарушаете негласные правила, по которым строятся рациональные дебаты. ","Конечно, это не честно, пользоваться шпаргалкой во время экзамена, но кто здесь сможет устоять перед искушением, если уверен, что не попадется?",,Trapaça,,,Trapaça,Você viola as normas de um debate racional.,"Claro, não é justo usar cola durante uma prova, mas quem aqui resistiria à tentação, sabendo que não será pego?",,,,,,,,,,,,,,,,,,square,joueur d'échec,#e42065,,,6.0,1
888,6.1,"6,1",2,Tricherie,tricherie,Arranger les faits,,1,1.0,5.0,,,Arranger les faits,18.0,Vous présentez des événements ou des faits sous un jour trompeur.,65.0,Je ne suis pas responsable de cette situation : je t'ai dit ce que je savais et tu as pris la mauvaise décision.,112.0,,Cheating,Spin doctoring,,Spin doctoring,14.0,,Presenting facts so that others interpret them in a way that betrays reality but suits your aims.,97.0,"It's not my fault: I shared the information I had with you, and you made the unfortunate decision.",,98,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/241/Spin-Doctoring,,,La police a empêché la manifestation d'avancer avant qu'une poignée d'individus ne saccagent le quartier.,"- There were riots and a policeman was wounded.
- You mean that officer who sprained his ankle when arresting Max?",,Лукавство,Подгонка фактов,,Подгонка фактов,Вы представляете события и факты в выгодном для вас свете.,"Я не виноват в этой ситуации, я сказал тебе, что знал, а неправильное решение принял ты. ",,Trapaça,Manipulação de Fatos,,Manipulação de Fatos,Você apresenta eventos ou fatos de maneira enganosa.,"Não é minha culpa: compartilhei as informações que tinha com você, e você tomou uma decisão infeliz.",,,,,,,,,,,,,,LackOfPTKReliability_Scheme,PositionToKnow_Inference,,skos:broadMatch,circle,Lunettes et faux nez,,,,6.1,2
973,6.2,"6,2",2,Tricherie,tricherie,Changement de cap,,1,1.0,3.0,,,Changement de cap,17.0,Vous déplacez insidieusement les objectifs du débat pour éviter d'admettre votre erreur.,88.0,Ce qui me tenait le plus à cœur n'était pas de gagner ce match mais d'offrir un beau spectacle au public.,105.0,,Cheating,Moving the goalposts,,Moving the goalposts,20.0,,Tactically shifting the focus of the argument to avoid admitting defeat.,72.0,"What really mattered to me was not winning the match, but giving a great performance for the audience.",,102,https://en.wikipedia.org/wiki/Moving_the_goalposts,,,,"You're right, the rich steal more money than the poor. But still we can't keep a whole population idle on welfare.",,Лукавство,Изменение направления,,Изменение направления,"Молча и пост-фактум вы меняете первоначальную цель дебатов, чтобы не признавать своего поражения. ","Для меня основным было не выиграть этот матч, а подарить публике отличное зрелище. ",,Trapaça,Mudança de meta,,Mudança de meta,Deslocando insidiosamente os objetivos do debate para evitar admitir sua derrota.,"O que realmente importava para mim não era ganhar a partida, mas dar um ótimo espetáculo para o público.",,1,,,,,,,,,,,,ConflictingGoals_Conflict,,,skos:broadMatch,circle,,,,,6.2,2
1023,6.3,"6,3",2,Tricherie,tricherie,Pensée biaisée,,1,1.0,7.0,,,Pensée biaisée,14.0,"Vos arguments sont influencés  par vos propres biais, ce qui trouble votre capacité à juger de façon équilibrée.",112.0,Ces personnes-là se ressemblent toutes : comment font-elles pour se reconnaître entre elles ?,93.0,,Cheating,Biased thinking,,Biased thinking,15.0,,"Arguing under the influence of a cognitive bias, which hinders the ability to reason in a balanced manner.",106.0,All these people look alike; how do they distinguish themselves from each other?,,80,https://en.wikipedia.org/wiki/Baconian_method#Idols_of_the_mind_.28idola_mentis.29,,Idola mentis ,,,,Лукавство,Искаженная мысль,,Искаженная мысль,"Вы аргументируете под влиянием когнитивного предвзятости, что мешает способности рассуждать сбалансированно.","Эти люди все на одно лицо, как вы можете их различать?",,Trapaça,Pensamento tendencioso,,Pensamento tendencioso,"Argumenta sob a influência de um viés cognitivo, o que atrapalha a capacidade de raciocinar de forma equilibrada.",Essas pessoas todas parecem iguais. Como elas conseguem se diferenciar umas das outras?,,,,,,,,,,,,,,Bias_Inference,PresumptiveInference_Scheme,,skos:closeMatch,circle,arlequin,,,,6.3,2
1280,7,7,1,Obstruction,obstruction,,,1,1.0,2.0,,,Obstruction,11.0,"Par un artifice, oratoire ou autre, vous faites en sorte que la discussion ne se déroule pas comme prévu.",105.0,,0.0,,Obstruction,,,Obstruction,11.0,,"Preventing the discussion from focusing on the main issue at hand, by any means necessary.",90.0,"I constantly distract with my jokes, so no one can focus on the main topic of the discussion.",,93,http://www.ditext.com/fearnside/39.html,"Un peu de mal avec le nom (Blocage) de cette cat. refus du débat? Couler? destruction? on pourrait avoir 3 sous-cat = fuite, sabotage, attaque.",,,,,Обструкция,,,Обструкция,"С помощью уловок, ораторских приемов или чего-то еще вы делаете так, что дискуссия идет не так, как планировалось.","Я постоянно отвлекаю внимание своими шутками, чтобы никто не мог сосредоточиться на главной теме обсуждения.",,Obstrução,,,Obstrução,"Impedindo a discussão para focar na questão principal em mãos, por qualquer meio necessário.","Eu constantemente desvio a atenção com minhas piadas, para que ninguém consiga se concentrar no tópico principal da discussão.",,,,,,,,,,,,,,ResolvingInconsistency_Conflict,,,skos:broadMatch,square,baston générale,#ff2408,,,7.0,1
1281,7.1,"7,1",2,Obstruction,obstruction,Refus du débat,,1,1.0,8.0,,,Refus du débat,14.0,Vous esquivez le débat pour bloquer toute tentative d'échange constructif basé sur la logique.,94.0,"Mes positions sont claires, connues de tous, et elles ne changeront pas.",72.0,,Obstruction,Refusing debate,,Refusing debate,15.0,,Evading debate by means of preventing a rational argumentative discussion.,74.0,"My position is clear, known to all, and it will not change.",,59,,"on pourrait inverser les noms de 7 et 7.1. ça deviendrait blocage, voir barricade.",,,,,Обструкция,Отказ от дебатов,,Отказ от дебатов,"Вы избегаете дискуссии, чтобы помешать собеседнику аргументировать свою позицию. ","Моя позиция четка, известна всем, и она не поменяется. ",,Obstrução,Recusa do debate,,Recusa do debate,Evitando o debate para bloquear qualquer tentativa de troca construtiva baseada na lógica.,"Minhas posições são claras, conhecidas por todos, e não vão mudar.",,,,,,,,,,,,,,,Dialogue_Scheme,,skos:broadMatch,circle,se bouche les oreilles,,,,7.1,2
1312,7.2,"7,2",2,Obstruction,obstruction,Saboter le débat,,1,1.0,6.0,Sabotage,,Saboter le débat,16.0,Vous perturbez le débat pour l'orienter ou en limiter la portée.,64.0,Allons donc dans mon bureau pour discuter de la stupidité de votre demande d'augmentation...,92.0,,Obstruction,Sabotage,,Sabotage,8.0,,Disrupting the debate to divert or reduce its scope.,52.0,Let's move to my office so we can discuss why your request for a raise is absurd.,,81,https://en.wikipedia.org/wiki/Sabotage,,,"Le gouvernement, responsable de votre chômage actuel, vient ce soir défendre son bilan politique à la télévision.",,,Обструкция,Саботаж дебатов,,Саботаж дебатов,"Вы ухудшаете обстановку дискуссии, чтобы придать ей нужное направление или ограничить ее значение. ","Пойдемте в мой кабинет, и там обсудим, насколько глупа ваша просьба о повышении. ",,Obstrução,Sabotar o debate,,Sabotar o debate,Vocês perturbam o debate para direcioná-lo ou limitar seu alcance.,Vamos até meu escritório para discutir quão sem sentido é seu pedido de aumento.,,,,,,,,,,,,,,,,,,circle,voiture tombe d'une falaise,,,,7.2,2
1360,7.3,"7,3",2,Obstruction,obstruction,Ad hominem,,1,1.0,1.0,,Ad hominem,Ad hominem,10.0,Vous visez votre adversaire lui-même plutôt que de contester ses arguments.,75.0,Comment pouvez-vous prétendre que votre politique de santé fonctionnera quand vous n'avez même pas réussi à arrêter de fumer ?,126.0,https://fr.wikipedia.org/wiki/Argumentum_ad_hominem,Obstruction,Ad hominem,,Ad hominem,10.0,,Discrediting an opponent instead of proving them wrong.,55.0,How can you claim your health policy will work when you haven't even managed to quit smoking?,,93,https://en.wikipedia.org/wiki/Ad_hominem,"La différence ad hominem et ad personam est le sujet d'un débat velu, je vous propose ma propre synthèse, basée sur les différentes sources à ma disposition, sans prendre forcément en compte les articles wikipedia, et en délaissant complètement les définitions zététiques et autres du même type, qui ne font pas toujours bien la distinction. L'ad hominem peut etre utile pour confronter l'adversaire à ses propres incohérences afin de faire avancer le débat, et n'oblige pas forcément à négliger les arguments dits, la double-faute ou l'appel à l'hypocrisie pourrait en descendre sous certaines conditions. Alors que l'ad personam est toujours déplacé, le piège kafkaïen (que j'adore) en descendrait, ainsi que l'empoisonnement du puit. - J",,,"He is a clown, he won't be able to govern our country nor to make it strong and stable.",,Обструкция,К человеку,,К человеку,"Вы апеллируете к самому человеку, приписывая ему свои собственные слова, действия или намерения. ","Как вы можете утверждать, что ваша политика в области здравоохранения будет работать, когда вы сами не можете бросить курить?",,Obstrução,Ad hominem,,Ad hominem,Descreditando um oponente em vez de provar que ele está errado.,Como você pode afirmar que sua política de saúde funcionará quando você nem mesmo conseguiu parar de fumar?,,,,,,,,,,,,,,,Ethotic_Inference,,skos:broadMatch,circle,éléphant de guerre,,,,7.3,2
